cau,batDau,ketThucTieng,ketThuc,soFrame,loi
1,00:00.0,00:05.4,00:06.8,204,"Một công cụ đánh dấu thư nào có thể là thư rác, còn một trợ lý viết giúp bạn lời mời tham gia câu lạc bộ."
2,00:06.8,00:11.6,00:13.0,185,"Cả hai có thể dùng trí tuệ nhân tạo, nhưng việc chúng làm và kết quả chúng trả về rất khác nhau."
3,00:13.0,00:19.3,00:21.3,249,"Mình sẽ dùng ba công cụ quen thuộc để phân biệt trí tuệ nhân tạo, học máy, tạo sinh và mô hình ngôn ngữ lớn."
4,00:21.3,00:26.6,00:28.0,202,"Trí tuệ nhân tạo là lĩnh vực làm cho máy thực hiện những việc thường cần trí thông minh, như nhận ra đồ vật trong ảnh."
5,00:28.0,00:32.8,00:34.2,186,"Trong lĩnh vực này, có những hệ thống giải bài toán bằng kiến thức và quy tắc do con người viết sẵn."
6,00:34.2,00:39.2,00:40.6,191,"Một cách khác là cho hệ thống học từ nhiều ví dụ, để nhận ra những đặc điểm giúp nó giải quyết công việc."
7,00:40.6,00:45.2,00:46.6,182,"Chẳng hạn, ta đưa vào nhiều thư điện tử đã được đánh dấu là thư rác hoặc thư bình thường."
8,00:46.6,00:51.2,00:52.6,178,"Bộ lọc dựa vào những gì đã học để dự đoán thư mới là thư rác hay thư bình thường."
9,00:52.6,00:54.8,00:56.2,110,"Cách học từ dữ liệu ấy được gọi là học máy."
10,00:56.2,01:00.5,01:01.9,170,"Bên trong bộ lọc, phần tính toán đã học từ các ví dụ ấy được gọi là mô hình học máy."
11,01:01.9,01:07.3,01:09.3,222,"Như vậy, học máy là một cách làm trong lĩnh vực trí tuệ nhân tạo, chứ không phải tên khác của cả lĩnh vực."
12,01:09.3,01:13.6,01:15.0,172,"Bây giờ, mình đổi nhiệm vụ từ phân loại thư sang viết một bức thư mời tham gia câu lạc bộ."
13,01:15.0,01:19.2,01:20.6,167,"Lúc này, bạn cần một bức thư mới, chứ không chỉ cần biết thư thuộc nhóm nào."
14,01:20.6,01:27.1,01:28.5,238,"Trí tuệ nhân tạo tạo sinh là tên gọi cho những hệ thống tạo nội dung, chẳng hạn văn bản, hình ảnh hoặc âm thanh."
15,01:28.5,01:33.7,01:35.1,196,"Trên bản đồ này, mình xét các mô hình tạo sinh học từ dữ liệu, nên đặt chúng trong vùng học máy."
16,01:35.1,01:40.5,01:41.9,206,"Nhưng không phải cứ học từ dữ liệu thì hệ thống sẽ tạo nội dung, vì bộ lọc thư rác vừa rồi chỉ phân loại."
17,01:41.9,01:47.1,01:48.5,198,"Một công cụ vẽ áp phích từ mô tả cũng thuộc nhóm tạo sinh, vì nó tạo hình ảnh để người dùng sử dụng."
18,01:48.5,01:53.8,01:55.2,199,"Mô hình ngôn ngữ lớn học cách dùng và kết hợp từ ngữ từ lượng lớn dữ liệu, để xử lý văn bản."
19,01:55.2,02:00.1,02:01.5,191,"Các mô hình ngôn ngữ có khả năng tạo sinh có thể viết thư, giải thích bài học hoặc tóm tắt tài liệu."
20,02:01.5,02:07.2,02:08.6,212,"Ứng dụng trò chuyện nhận câu hỏi của bạn và có thể sử dụng mô hình ngôn ngữ lớn để tạo câu trả lời."
21,02:08.6,02:13.2,02:14.6,179,"Bạn gõ câu hỏi trong khung trò chuyện, còn mô hình phía sau xử lý thông tin để viết câu trả lời."
22,02:14.6,02:19.4,02:20.8,186,"Cùng một ứng dụng có thể nối với cả mô hình viết văn bản, mô hình tạo ảnh và các công cụ khác."
23,02:20.8,02:24.8,02:26.8,182,"Vì vậy, tên ứng dụng bạn đang mở chưa cho biết bên trong đang dùng mô hình nào."
24,02:26.8,02:31.8,02:33.2,190,"Hãy đặt thẻ đầu tiên lên bản đồ: bộ lọc học từ những thư đã được đánh dấu để phân loại thư mới."
25,02:33.2,02:37.4,02:38.8,170,"Thẻ này nằm trong vùng học máy, và vùng học máy nằm bên trong lĩnh vực trí tuệ nhân tạo."
26,02:38.8,02:42.6,02:44.0,156,"Bộ lọc này chỉ đánh dấu loại thư, nên việc nó đang làm không phải tạo sinh."
27,02:44.0,02:48.1,02:49.5,164,"Thẻ thứ hai là công cụ tạo áp phích cho ngày hội khoa học từ một đoạn mô tả."
28,02:49.5,02:54.3,02:55.7,187,"Tạo áp phích là một việc tạo sinh, nhưng nhìn bức ảnh chưa cho biết công cụ đã dùng những mô hình nào."
29,02:55.7,03:00.1,03:01.5,173,"Thẻ thứ ba là trợ lý sử dụng mô hình ngôn ngữ lớn để viết thư mời tham gia ngày hội."
30,03:01.5,03:05.7,03:07.1,168,"Chức năng này tạo văn bản mới, nên ta đặt nó vào nhánh tạo sinh ngôn ngữ."
31,03:07.1,03:12.9,03:14.3,215,"Nếu giao chính mô hình ấy nhiệm vụ phân loại thư, tên mô hình vẫn giữ nguyên nhưng công việc đang làm đã thay đổi."
32,03:14.3,03:20.1,03:22.1,234,"Muốn phân biệt cho rõ, hãy hỏi công cụ nhận gì, xử lý bằng cách nào và trả về loại kết quả gì."
33,03:22.1,03:27.3,03:28.7,200,"Một hệ thống chỉ phân loại thư rác, không tạo nội dung mới, có nhất thiết là trí tuệ nhân tạo tạo sinh không?"
34,03:28.7,03:31.5,03:32.1,102,"Hãy giải thích lựa chọn bằng kết quả mà hệ thống đang trả về."
35,03:32.1,03:32.1,03:37.1,150,"(dừng 5 giây)"
36,03:37.1,03:41.6,03:43.0,175,"Không nhất thiết, vì học máy có thể dùng để phân loại mà không cần tạo nội dung mới."
37,03:43.0,03:48.4,03:49.8,206,"Nếu dùng mô hình ngôn ngữ cho việc đó, hãy nói rõ đây là mô hình ngôn ngữ đang làm nhiệm vụ phân loại."
38,03:49.8,03:55.8,03:57.2,222,"Trí tuệ nhân tạo là lĩnh vực rộng, học máy là một cách học từ dữ liệu, còn tạo sinh nói về việc tạo nội dung."
39,03:57.2,04:02.8,04:04.2,209,"Mô hình ngôn ngữ lớn xử lý văn bản, còn ứng dụng trò chuyện là nơi bạn gửi câu hỏi và nhận câu trả lời."
40,04:04.2,04:09.2,04:11.2,211,"Ở video tiếp theo, mình sẽ nhìn lại lịch sử để hiểu vì sao các công cụ này ngày càng phổ biến."
