ma_gop_y,thoi_diem,nguoi_gui,video,de_hieu_1_5,nhip_do_1_5,y_kien_them
gy-001,2026-09-02 09:14,hv-004,d1,3,2,Đoạn giữa hơi nhanh em không kịp ghi.
gy-005,2026-09-02 13:05,hv-031,d1,4,3,"Năm giây suy nghĩ ngắn quá, em chưa kịp nghĩ đã thấy đáp án."
gy-006,2026-09-02 13:22,hv-037,d1,4,3,"Khoảng dừng để suy nghĩ hơi dài, em thấy sốt ruột, rút ngắn lại được không ạ."
gy-009,2026-09-02 19:00,hv-050,d1,5,5,Video hay ạ.
gy-013,2026-09-02 21:00,hv-063,d1,4,4,"Em nghĩ nên có ví dụ về tiếng Việt, mấy ví dụ thư rác với áp phích hơi xa với công việc của em."
gy-015,2026-09-03 08:45,hv-070,d1,3,3,Chỗ giải thích mô hình học máy nằm bên trong bộ lọc em nghe ba lần mới hiểu.
gy-019,2026-09-03 09:02,hv-081,d1,4,4,
gy-020,2026-09-03 09:15,hv-082,d1,2,2,"Nhiều khái niệm quá, bốn cái tên mà em cứ lẫn giữa tạo sinh với mô hình ngôn ngữ lớn."
gy-021,2026-09-03 09:40,hv-085,d1,5,4,Phần bản đồ khái niệm dễ nhớ ạ.
gy-022,2026-09-03 10:05,hv-090,d1,3,4,"Em vẫn không rõ ứng dụng trò chuyện khác mô hình ngôn ngữ lớn ở chỗ nào."
